client_user_id,session_id,dropped_frames,FPS,bitrate,RTT,timestamp,device
16ff4d06-fd0a-4ed5-933a-8d82bac69029,6b374e7e-c22d-4ce8-9c1f-5dc04f3c33cd,0.0,27.0,3676.0,30.0,2022-09-02 02:51:30,Windows
16ff4d06-fd0a-4ed5-933a-8d82bac69029,6b374e7e-c22d-4ce8-9c1f-5dc04f3c33cd,0.0,28.0,18741.0,31.0,2022-09-02 02:51:35,Windows
16ff4d06-fd0a-4ed5-933a-8d82bac69029,6b374e7e-c22d-4ce8-9c1f-5dc04f3c33cd,57.0,0.0,22008.0,30.0,2022-09-02 02:51:40,Windows
16ff4d06-fd0a-4ed5-933a-8d82bac69029,6b374e7e-c22d-4ce8-9c1f-5dc04f3c33cd,0.0,28.0,12262.0,31.0,2022-09-02 02:51:45,Windows
16ff4d06-fd0a-4ed5-933a-8d82bac69029,6b374e7e-c22d-4ce8-9c1f-5dc04f3c33cd,0.0,28.0,724.0,31.0,2022-09-02 02:51:50,Windows
16ff4d06-fd0a-4ed5-933a-8d82bac69029,6b374e7e-c22d-4ce8-9c1f-5dc04f3c33cd,0.0,28.0,1203.0,34.0,2022-09-02 02:51:55,Windows
16ff4d06-fd0a-4ed5-933a-8d82bac69029,6b374e7e-c22d-4ce8-9c1f-5dc04f3c33cd,0.0,30.0,2302.0,31.0,2022-09-02 02:52:00,Windows
16ff4d06-fd0a-4ed5-933a-8d82bac69029,6b374e7e-c22d-4ce8-9c1f-5dc04f3c33cd,0.0,28.0,3731.0,31.0,2022-09-02 02:52:05,Windows
16ff4d06-fd0a-4ed5-933a-8d82bac69029,6b374e7e-c22d-4ce8-9c1f-5dc04f3c33cd,0.0,30.0,7054.0,31.0,2022-09-02 02:52:10,Windows
16ff4d06-fd0a-4ed5-933a-8d82bac69029,6b374e7e-c22d-4ce8-9c1f-5dc04f3c33cd,0.0,27.0,4103.0,30.0,2022-09-02 02:52:15,Windows
16ff4d06-fd0a-4ed5-933a-8d82bac69029,6b374e7e-c22d-4ce8-9c1f-5dc04f3c33cd,0.0,30.0,4934.0,31.0,2022-09-02 02:52:20,Windows
16ff4d06-fd0a-4ed5-933a-8d82bac69029,6b374e7e-c22d-4ce8-9c1f-5dc04f3c33cd,0.0,29.0,19066.0,31.0,2022-09-02 02:52:25,Windows
16ff4d06-fd0a-4ed5-933a-8d82bac69029,6b374e7e-c22d-4ce8-9c1f-5dc04f3c33cd,0.0,30.0,2023.0,30.0,2022-09-02 02:52:30,Windows
16ff4d06-fd0a-4ed5-933a-8d82bac69029,6b374e7e-c22d-4ce8-9c1f-5dc04f3c33cd,0.0,30.0,2163.0,31.0,2022-09-02 02:52:35,Windows
16ff4d06-fd0a-4ed5-933a-8d82bac69029,6b374e7e-c22d-4ce8-9c1f-5dc04f3c33cd,0.0,29.0,3230.0,30.0,2022-09-02 02:52:40,Windows
